211.699 & 0.575 & 2.51189E-05
237.53 & 0.575 & 1.99526E-05
266.513 & 0.575 & 1.58489E-05
299.033 & 0.575 & 1.25893E-05
335.521 & 0.575 & 1E-05
376.46 & 0.575 & 7.94328E-06
422.395 & 0.575 & 6.30957E-06
473.935 & 0.575 & 5.01187E-06
531.764 & 0.575 & 3.98107E-06
596.649 & 0.575 & 3.16228E-06
669.452 & 0.575 & 2.51189E-06
751.137 & 0.575 & 1.99526E-06
842.79 & 0.575 & 1.58489E-06
945.625 & 0.575 & 1.25893E-06
0.106101 & 0.525 & 100
0.119047 & 0.525 & 79.4328
0.133573 & 0.525 & 63.0957
0.149872 & 0.525 & 50.1187
0.168159 & 0.525 & 39.8107
0.188677 & 0.525 & 31.6228
0.211699 & 0.525 & 25.1189
0.23753 & 0.525 & 19.9526
0.266513 & 0.525 & 15.8489
0.299033 & 0.525 & 12.5893
0.335521 & 0.525 & 10
0.37646 & 0.525 & 7.94328
0.422395 & 0.525 & 6.30957
0.473935 & 0.525 & 5.01187
0.531764 & 0.525 & 3.98107
0.596649 & 0.525 & 3.16228
0.669452 & 0.525 & 2.51189
0.751137 & 0.525 & 1.99526
0.84279 & 0.525 & 1.58489
0.945625 & 0.525 & 1.25893
1.06101 & 0.525 & 1
1.19047 & 0.525 & 0.794328
1.33573 & 0.525 & 0.630957
1.49872 & 0.525 & 0.501187
1.68159 & 0.525 & 0.398107
1.88677 & 0.525 & 0.316228
2.11699 & 0.525 & 0.251189
2.3753 & 0.525 & 0.199526
2.66513 & 0.525 & 0.158489
2.99033 & 0.525 & 0.125893
3.35521 & 0.525 & 0.1
3.7646 & 0.525 & 0.0794328
4.22395 & 0.525 & 0.0630957
4.73935 & 0.525 & 0.0501187
5.31764 & 0.525 & 0.0398107
